,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,cohort,age,Segment,ResponseTxt,BiggerPurchases
22,1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,2012-12-01,63,Wines,Nao aceito,NumStorePurchases
23,4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,2014-01-01,60,Wines,Nao aceito,NumStorePurchases
24,1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,2013-03-01,62,Wines,Nao aceito,NumWebVisitsMonth
25,7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,2013-01-01,44,MeatProducts,Nao aceito,NumWebVisitsMonth
26,2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,2013-05-01,37,Wines,Nao aceito,NumWebVisitsMonth
27,5255,1986,Graduation,Single,,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,2013-02-01,27,GoldProds,Nao aceito,NumWebPurchases
28,9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,2013-05-01,24,MeatProducts,Nao aceito,NumStorePurchases
29,1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,2013-11-01,48,MeatProducts,Nao aceito,NumStorePurchases
30,6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,2014-05-01,25,MeatProducts,Nao aceito,NumWebVisitsMonth
31,3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,2013-05-01,50,Wines,Nao aceito,NumCatalogPurchases
32,5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,2012-10-01,42,Wines,Nao aceito,NumWebVisitsMonth
33,7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,2012-10-01,60,Wines,Aceito,NumDealsPurchases
34,8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,2013-02-01,67,Wines,Nao aceito,NumStorePurchases
35,10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,2013-08-01,62,Wines,Nao aceito,NumWebVisitsMonth
36,4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,2013-12-01,43,Wines,Nao aceito,NumStorePurchases
37,10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,2013-09-01,37,GoldProds,Nao aceito,NumWebVisitsMonth
38,8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2014-02-01,41,Wines,Nao aceito,NumWebVisitsMonth
39,2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,2013-02-01,70,Wines,Aceito,NumCatalogPurchases
40,8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,2013-04-01,33,MeatProducts,Nao aceito,NumWebPurchases
41,503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,2013-03-01,28,MeatProducts,Nao aceito,NumWebVisitsMonth
42,8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,2012-12-01,55,Wines,Nao aceito,NumWebVisitsMonth
43,7281,1959,PhD,Single,,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,2013-11-01,54,Wines,Nao aceito,NumStorePurchases
44,2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,2013-10-01,38,GoldProds,Nao aceito,NumWebVisitsMonth
45,1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,2014-06-01,38,MeatProducts,Nao aceito,NumStorePurchases
46,9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,2012-11-01,16,GoldProds,Aceito,NumWebVisitsMonth
47,7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,2013-05-01,45,MeatProducts,Nao aceito,NumWebVisitsMonth
48,7244,1951,Graduation,Single,,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,2014-01-01,63,Wines,Nao aceito,NumWebVisitsMonth
49,6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,2012-11-01,58,Wines,Nao aceito,NumStorePurchases
50,8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,2014-05-01,57,Wines,Nao aceito,NumStorePurchases
51,4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,2012-08-01,48,MeatProducts,Nao aceito,NumStorePurchases
52,1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2013-01-01,36,FishProducts,Nao aceito,NumWebVisitsMonth
53,2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,2014-06-01,37,MeatProducts,Aceito,NumCatalogPurchases
54,9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,2013-06-01,35,Wines,Nao aceito,NumStorePurchases
55,6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,2012-11-01,57,Wines,Aceito,NumStorePurchases
56,10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,2013-04-01,47,MeatProducts,Aceito,NumStorePurchases
57,7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,2014-04-01,26,Wines,Nao aceito,NumStorePurchases
58,8557,1982,Graduation,Single,,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2013-06-01,31,MeatProducts,Nao aceito,NumWebVisitsMonth
59,8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,2014-03-01,46,Wines,Nao aceito,NumWebPurchases
60,6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,2013-07-01,31,Wines,Aceito,NumStorePurchases
61,3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,2012-09-01,37,Wines,Nao aceito,NumStorePurchases
62,1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,2013-02-01,61,Wines,Nao aceito,NumStorePurchases
63,6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,2013-06-01,62,Wines,Nao aceito,NumStorePurchases
64,4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,2013-12-01,65,Wines,Nao aceito,NumWebPurchases
65,8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,2013-05-01,42,GoldProds,Aceito,NumWebVisitsMonth
66,1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2014-05-01,47,Wines,Nao aceito,NumWebVisitsMonth
67,9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,2014-03-01,35,Wines,Aceito,NumWebPurchases
68,4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,2013-09-01,55,Wines,Nao aceito,NumStorePurchases
69,1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,2013-04-01,43,Wines,Nao aceito,NumDealsPurchases
70,1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,2012-09-01,58,Wines,Nao aceito,NumCatalogPurchases
71,10629,1973,2n Cycle,Married,,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2012-09-01,39,MeatProducts,Nao aceito,NumWebVisitsMonth
72,6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,2013-03-01,54,MeatProducts,Nao aceito,NumStorePurchases
73,8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,2013-04-01,38,Wines,Nao aceito,NumWebPurchases
74,1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,2014-04-01,62,SweetProducts,Nao aceito,NumStorePurchases
75,5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,2012-12-01,35,MeatProducts,Nao aceito,NumWebVisitsMonth
76,1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,2012-08-01,40,MeatProducts,Aceito,NumWebPurchases
77,7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,2012-10-01,36,Wines,Aceito,NumStorePurchases
78,10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,2013-09-01,37,GoldProds,Nao aceito,NumStorePurchases
79,1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,2013-01-01,48,Wines,Aceito,NumWebPurchases
80,3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,2012-08-01,27,MeatProducts,Nao aceito,NumWebVisitsMonth
81,2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2013-06-01,44,MeatProducts,Nao aceito,NumWebVisitsMonth
82,5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,2013-07-01,40,Wines,Nao aceito,NumWebVisitsMonth
83,4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,2013-05-01,50,Wines,Nao aceito,NumCatalogPurchases
84,535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,2014-02-01,27,MeatProducts,Nao aceito,NumStorePurchases
85,5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,2013-08-01,53,Wines,Nao aceito,NumWebVisitsMonth
86,273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,2013-07-01,43,Wines,Nao aceito,NumWebVisitsMonth
87,4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,2014-05-01,57,Wines,Aceito,NumWebVisitsMonth
88,8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,2014-05-01,41,MeatProducts,Nao aceito,NumStorePurchases
89,771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,2014-01-01,47,Wines,Nao aceito,NumStorePurchases
90,8996,1957,PhD,Married,,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,2012-11-01,55,Wines,Nao aceito,NumDealsPurchases
91,9235,1957,Graduation,Single,,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2014-05-01,57,MeatProducts,Nao aceito,NumWebVisitsMonth
92,5798,1973,Master,Together,,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,2013-11-01,40,Wines,Nao aceito,NumStorePurchases
93,11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,2014-03-01,42,Wines,Nao aceito,NumWebVisitsMonth
94,2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,2014-05-01,44,Wines,Nao aceito,NumWebVisitsMonth
95,7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,2014-05-01,31,FishProducts,Nao aceito,NumWebVisitsMonth
96,7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,2012-11-01,52,Wines,Nao aceito,NumWebPurchases
97,11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2013-04-01,41,Wines,Nao aceito,NumWebVisitsMonth
98,4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,2013-12-01,62,MeatProducts,Nao aceito,NumStorePurchases
99,3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,2013-06-01,30,Wines,Nao aceito,NumStorePurchases
100,1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,2013-07-01,53,Wines,Nao aceito,NumWebVisitsMonth
101,1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2014-03-01,55,Wines,Nao aceito,NumWebVisitsMonth
102,4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,2013-04-01,34,Wines,Nao aceito,NumStorePurchases
103,9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,2013-05-01,68,Wines,Nao aceito,NumWebPurchases
104,8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,2014-05-01,55,MeatProducts,Aceito,NumCatalogPurchases
105,8373,1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,2013-12-01,34,FishProducts,Nao aceito,NumWebVisitsMonth
106,7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,2013-09-01,49,Wines,Nao aceito,NumWebVisitsMonth
107,2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,2013-02-01,44,Wines,Nao aceito,NumStorePurchases
108,3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,2012-12-01,34,Wines,Nao aceito,NumWebVisitsMonth
109,10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,2012-12-01,52,Wines,Nao aceito,NumWebPurchases
110,5077,1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,2013-11-01,34,Wines,Nao aceito,NumStorePurchases
111,7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,2012-11-01,21,Wines,Aceito,NumWebVisitsMonth
112,3267,1963,Master,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,2014-06-01,51,Wines,Nao aceito,NumWebPurchases
113,999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,2013-01-01,22,Wines,Aceito,NumStorePurchases
114,9215,1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,2012-12-01,32,Wines,Nao aceito,NumWebVisitsMonth
115,2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2013-09-01,51,Wines,Nao aceito,NumWebVisitsMonth
116,1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,2014-01-01,44,MeatProducts,Nao aceito,NumCatalogPurchases
117,367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,2013-02-01,35,FishProducts,Nao aceito,NumWebPurchases
118,5234,1967,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2013-07-01,46,GoldProds,Nao aceito,NumWebVisitsMonth
119,9862,1969,Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2013-11-01,44,FishProducts,Nao aceito,NumWebVisitsMonth
120,9805,1953,Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,2013-06-01,60,Wines,Nao aceito,NumStorePurchases
121,6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,2014-02-01,47,Wines,Aceito,NumWebVisitsMonth
122,8442,1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,2013-09-01,28,Wines,Nao aceito,NumWebVisitsMonth
123,7386,1976,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,2013-04-01,37,Wines,Nao aceito,NumWebVisitsMonth
124,7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,2013-03-01,30,Wines,Aceito,NumStorePurchases
125,1491,1965,2n Cycle,Together,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,2013-02-01,48,GoldProds,Nao aceito,NumStorePurchases
126,11071,1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,2013-04-01,29,MeatProducts,Aceito,NumCatalogPurchases
127,3381,1953,Master,Married,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2014-06-01,61,Wines,Nao aceito,NumWebVisitsMonth
128,8268,1961,PhD,Married,,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,2013-07-01,52,Wines,Nao aceito,NumStorePurchases
